"hashtags","avg_hashtags_per_tweet","avg_mentions_per_tweet","proportion_original_tweet","proportion_retweet","proportion_reply","proportion_quote_tweet","proportion_contains_media","proportion_contains_URL","avg_account_age","avg_account_total_tweets","avg_account_total_likes","avg_account_total_followers","avg_account_total_following","avg_account_total_lists","posts_per_hashtag","accounts_per_hashtag","avg_posts_per_account","avg_calendar_weeks_participated","avg_mentioned_by_other_users_per_account","avg_mentioned_other_users_per_account","avg_two_way_mentions_per_account"
"idedchat",1.71058394160584,0.401459854014599,0.562281961830495,0.185306792530269,0.252411245639237,0.101990560229838,0.128467153284672,0.153284671532847,1739.98405562221,9029.54712041885,5776.1832460733,4407.70418848168,1950.36910994764,170.089005235602,4873,382,12.7565445026178,2.20157068062827,2.67015706806283,3.89005235602094,1.2565445026178
"iledchat",2.53383915022762,0.440667678300455,0.521773555027712,0.379889152810768,0.0983372921615202,0.0601741884402217,0.183308042488619,0.430652503793627,1731.49353803446,6861.41466854725,4620.71368124118,2299.7341325811,1487.59873060649,132.971791255289,6315,1418,4.45345557122708,1.96332863187588,2.14739069111425,2.68406205923836,0.56558533145275
"inelearn",1.96266886665979,0.45756419511189,0.54248951048951,0.360951048951049,0.0965594405594406,0.0638321678321678,0.195524388986284,0.241827369289471,1631.42005561957,4039.34968777877,3184.29482604817,1926.59411239964,1089.27609277431,89.7087421944692,17875,2242,7.97279214986619,2.43264942016057,3.44157002676182,4.41793041926851,1.08340767172168
"ksed",2.27574485102979,0.294874358461641,0.371784705357585,0.593943599147544,0.0342716954948704,0.0620012885959261,0.121175764847031,0.314937012597481,1799.91581636531,8875.92080414255,6406.91562595187,1217.62930246726,974.282363691745,45.9448674992385,40354,3283,12.2918062747487,3.17910447761194,3.80231495583308,4.68930855924459,0.374048126713372
"ksedchat",1.59862566182269,0.235214599526867,0.553325437885682,0.32063828461011,0.126036277504207,0.0997319703297388,0.163906725245015,0.0875295708009463,1607.15689263616,5738.66682669227,5049.47959673548,2372.37782045127,1272.99951992319,108.621699471916,16043,2083,7.70187229956793,2.0672107537206,2.72347575612098,3.43254920787326,0.748919827172348
"laedchat",2.11375947995666,0.319609967497291,0.50299727520436,0.324795640326975,0.172207084468665,0.093732970027248,0.208017334777898,0.240520043336945,1757.14810044381,6485.83454987835,4604.01703163017,2594.80778588808,1542.5304136253,141.289537712895,1835,411,4.4647201946472,1.37956204379562,1.661800486618,2.08759124087591,0.418491484184915
"edchatme",1.92602900249011,0.457448366778966,0.551453957996769,0.310823909531502,0.137722132471729,0.0815024232633279,0.162003808407793,0.219129925296616,1669.65245926224,7254.72844480258,4725.5592264303,2417.77840451249,1510.84528605963,143.315068493151,12380,1241,9.97582594681708,2.10394842868654,3.3190975020145,4.32312651087832,1.232070910556
"mdedchat",2.1437461107654,0.530802738021157,0.507740916271722,0.347867298578199,0.144391785150079,0.0723538704581359,0.165525824517735,0.299937772246422,1688.36661623024,7860.9604743083,5098.36758893281,2975.09288537549,1642.28063241107,156.426877470356,3165,506,6.25494071146245,1.82411067193676,2.21146245059289,3.62648221343874,0.782608695652174
"edchatma",3.20007196833393,0.5545160129543,0.470857336496103,0.449339207048458,0.0798034564554388,0.104201965435446,0.174523209787693,0.47643037063692,1766.38646678436,7815.84070221066,5130.79128738622,2841.33875162549,1577.42327698309,138.820546163849,5902,1538,3.83745123537061,1.99479843953186,2.16319895968791,2.8146944083225,0.589726918075423
"miched",1.96837073981712,0.607522859517872,0.502285964802405,0.416713638546168,0.0810003966514269,0.0683075509905847,0.123898586866168,0.438237738985869,1770.54333314063,8316.64712878016,5646.05674481821,2141.37580699966,1242.12708120965,99.7798165137615,47901,5886,8.13812436289501,2.38634046890928,3.82891607203534,4.69792728508325,0.953958545701665
